जिल्ला,स्थानीय तह,जम्मा परिवार संख्या,जम्मा जनगणना घर संख्या,जम्मा जनसंख्या,जम्मा पुरुष,जम्मा महिला
रसुवा,गोसाईकुण्ड गाउँपालिका,2477,2149,8043,4071,3972
रसुवा,कालीका गाउँपालिका,2474,2412,10172,5011,5161
रसुवा,नौकुण्ड गाउँपालिका,2899,2878,12095,6059,6036
रसुवा,आमाछोदिङमो गाउँपालिका,1727,1688,6673,3486,3187
रसुवा,उत्तरगया गाउँपालिका,2264,2235,8571,4232,4339
धादिङ्ग,बेनीघाट रोराङ्ग गाउँपालिका,7791,6979,34473,17542,16931
धादिङ्ग,धुनीबेंशी नगरपालिका,7235,6777,29126,14411,14715
धादिङ्ग,गजुरी गाउँपालिका,6909,6306,28756,14471,14285
धादिङ्ग,गल्छी गाउँपालिका,6212,5783,24206,11875,12331
धादिङ्ग,गङ्गाजमुना गाउँपालिका,5305,5183,19460,9494,9966
धादिङ्ग,ज्वालामूखी गाउँपालिका,6116,5972,21202,9898,11304
धादिङ्ग,खनियाबास गाउँपालिका,2640,2618,10680,5175,5505
धादिङ्ग,नेत्रावती डबजोङ गाउँपालिका,3295,3242,11271,5390,5881
धादिङ्ग,नीलकण्ठ नगरपालिका,16579,14281,58151,27136,31015
धादिङ्ग,रुबी भ्याली गाउँपालिका,3005,2989,10472,5261,5211
धादिङ्ग,सिद्धलेक गाउँपालिका,5883,5795,22212,10652,11560
धादिङ्ग,थाक्रे गाउँपालिका,7745,7142,31554,15797,15757
धादिङ्ग,त्रिपुरासुन्दरी गाउँपालिका,5748,5596,21188,10105,11083
मकवानपुर,बागमती गाउँपालिका,6498,6195,30625,15111,15514
मकवानपुर,बकैया गाउँपालिका,9028,8664,40671,19947,20724
मकवानपुर,भिमफेदी गाउँपालिका,5128,4939,21626,10668,10958
मकवानपुर,हेटौंडा उपमहानगरपालिका,47027,39425,195951,97324,98627
मकवानपुर,ईन्द्रसरोवर गाउँपालिका,3415,3217,13758,6739,7019
मकवानपुर,कैलाश गाउँपालिका,4487,4400,21992,11140,10852
मकवानपुर,मकवानपुरगढी गाउँपालिका,5342,5239,24252,12169,12083
मकवानपुर,मनहरी गाउँपालिका,10762,10097,47144,22986,24158
मकवानपुर,राक्सिराङ्ग गाउँपालिका,5077,5043,25871,13147,12724
मकवानपुर,थाहा नगरपालिका,9842,8995,39163,19241,19922
चितवन,भरतपुर महानगरपालिका,98288,77838,369377,179744,189633
चितवन,इच्छाकामना गाउँपालिका,6174,5517,26965,13599,13366
चितवन,कालिका नगरपालिका,12466,11623,52779,25740,27039
चितवन,खैरहनी नगरपालिका,16757,14650,68675,33104,35571
चितवन,माडी नगरपालिका,10227,9710,38550,18257,20293
चितवन,राप्ती नगरपालिका,15459,14390,66426,32609,33817
चितवन,रत्ननगर नगरपालिका,22670,19901,90978,44120,46858
गोरखा,आरुघाट गाउँपालिका,6220,5950,21876,10409,11467
गोरखा,अजिरकोट गाउँपालिका,3667,3589,13002,6389,6613
गोरखा,भिमसेनथापा गाउँपालिका,5265,5186,17118,7819,9299
गोरखा,चुमनुव्री गाउँपालिका,2134,2036,6789,3240,3549
गोरखा,धार्चे गाउँपालिका,3790,3683,14563,7025,7538
गोरखा,गण्डकी गाउँपालिका,5688,5537,21662,10414,11248
गोरखा,गोरखा नगरपालिका,15298,12641,53285,25279,28006
गोरखा,पालुङटार नगरपालिका,11317,10727,37274,17431,19843
गोरखा,शहीद लखन गाउँपालिका,6812,6554,22429,10492,11937
गोरखा,सिरानचोक गाउँपालिका,6026,5907,19829,9352,10477
गोरखा,बारपाक सुलिकोट गाउँपालिका,6583,6426,23222,10921,12301
लमजुङ,बेसीशहर नगरपालिका,11308,8781,38562,18525,20037
लमजुङ,दोर्दी गाउँपालिका,4597,4462,15639,7585,8054
लमजुङ,दुधपोखरी गाउँपालिका,2492,2470,8558,4178,4380
लमजुङ,क्व्होलासोथार गाउँपालिका ,2285,2228,8008,3827,4181
लमजुङ,मध्यनेपाल नगरपालिका,6528,6002,21373,9767,11606
लमजुङ,मर्स्याङदी गाउँपालिका ,4620,4455,17267,8421,8846
लमजुङ,राईनास नगरपालिका,5009,4872,17207,8309,8898
लमजुङ,सुन्दरबजार नगरपालिका,8034,6831,26866,12597,14269
तनहुँ,आँबुखैरेनी गाउँपालिका,6284,4758,22349,10791,11558
तनहुँ,बन्दिपुर गाउँपालिका,5418,4712,19403,9251,10152
तनहुँ,भानु नगरपालिका,13064,12351,43255,19943,23312
तनहुँ,भिमाद नगरपालिका,8964,7965,33077,15166,17911
तनहुँ,व्यास नगरपालिका,24078,19547,80944,37669,43275
तनहुँ,देवघाट गाउँपालिका,3878,3653,14941,7115,7826
तनहुँ,घिरिङ गाउँपालिका,4490,4102,15038,7013,8025
तनहुँ,म्याग्दे गाउँपालिका,6532,5857,23385,10781,12604
तनहुँ,ऋषिङ्ग गाउँपालिका,4981,4611,18821,8590,10231
तनहुँ,शुक्लागण्डकी नगरपालिका,15479,14086,55749,26023,29726
स्याङ्गजा,आँधीखोला गाउँपालिका,4718,4278,14970,6916,8054
स्याङ्गजा,अर्जुनचौपारी गाउँपालिका,3810,3549,14094,6495,7599
स्याङ्गजा,भीरकोट नगरपालिका,6226,5644,22617,10320,12297
स्याङ्गजा,बिरुवा गाउँपालिका,3980,3775,13900,6571,7329
स्याङ्गजा,चापाकोट नगरपालिका,6389,5726,22787,10398,12389
स्याङ्गजा,गल्याङ नगरपालिका,7971,7226,31125,14413,16712
स्याङ्गजा,हरिनास गाउँपालिका,3591,3318,12979,5953,7026
स्याङ्गजा,कालीगण्डकी गाउँपालिका,4946,4666,18008,8242,9766
स्याङ्गजा,फेदीखोला गाउँपालिका,3222,2919,10786,5035,5751
स्याङ्गजा,पुतलीबजार नगरपालिका,12152,10390,42079,19440,22639
स्याङ्गजा,वालिङ नगरपालिका,13705,11365,50932,23657,27275
कास्की,अन्नपूर्ण गाउँपालिका,6406,5811,22517,10863,11654
कास्की,माछापुच्छ्रे गाउँपालिका,6144,5509,22013,10762,11251
कास्की,मादी गाउँपालिका,4115,4014,16318,8136,8182
कास्की,पोखरा महानगरपालिका,143137,101669,518452,250999,267453
कास्की,रूपा गाउँपालिका,3674,3569,14741,7093,7648
मनाङ,चामे गाउँपालिका,391,333,1272,728,544
मनाङ,नार्पा भूमि गाउँपालिका,125,125,398,170,228
मनाङ,नासोँ गाउँपालिका,471,441,1671,831,840
मनाङ,मनाङ ङिस्याङ गाउँपालिका,558,548,1584,818,766
मुस्ताङ,वारागुङ मुक्तिक्षेत्र गाउँपालिका,738,666,2611,1336,1275
मुस्ताङ,लो-घेकर दामोदरकुण्ड गाउँपालिका,459,444,1535,748,787
मुस्ताङ,घरपझोङ गाउँपालिका,1169,921,4875,2904,1971
मुस्ताङ,लोमन्थाङ गाउँपालिका,540,539,1997,1132,865
मुस्ताङ,थासाङ गाउँपालिका,845,698,3578,2054,1524
म्याग्दी,अन्नपूर्ण गाउँपालिका,3618,3340,12351,6078,6273
म्याग्दी,बेनी नगरपालिका,9465,7202,33062,15572,17490
म्याग्दी,धवलागिरी गाउँपालिका,3192,3008,12604,6158,6446
म्याग्दी,मालिका गाउँपालिका,4818,4336,18346,8999,9347
म्याग्दी,मंगला गाउँपालिका,3934,3699,14772,7030,7742
म्याग्दी,रघुगंगा गाउँपालिका,4174,3767,14232,6857,7375
पर्वत,बिहादी गाउँपालिका,3192,3063,12521,5960,6561
पर्वत,जलजला गाउँपालिका,6095,5140,21375,10259,11116
पर्वत,कुश्मा नगरपालिका,11906,9740,38774,18543,20231
पर्वत,महाशिला गाउँपालिका,2093,1964,8233,3867,4366
पर्वत,मोदी गाउँपालिका,5148,4618,18018,8611,9407
पर्वत,पैयूँ गाउँपालिका,3292,2995,12705,6025,6680
पर्वत,फलेवास नगरपालिका,5875,5529,20726,9534,11192
बागलुङ,वडिगाड गाउँपालिका,6819,6324,28797,13487,15310
बागलुङ,बाग्लुङ नगरपालिका,16399,12924,57030,26588,30442
बागलुङ,वरेङ गाउँपालिका,2981,2796,11162,5070,6092
बागलुङ,ढोरपाटन नगरपालिका,7661,6535,30779,14306,16473
बागलुङ,गल्कोट नगरपालिका,7912,7314,30503,14473,16030
बागलुङ,जैमिनी नगरपालिका,6912,6555,24784,11310,13474
बागलुङ,काठेखोला गाउँपालिका,5961,5743,22732,10387,12345
बागलुङ,निसीखोला गाउँपालिका,5711,5499,23215,10566,12649
बागलुङ,तमानखोला गाउँपालिका,2622,2453,9795,4667,5128
बागलुङ,ताराखोला गाउँपालिका,2356,2302,10167,5010,5157
नवलपरासी (बर्दघाट सुस्ता पूर्व),विनयीत्रिवेणी गाउँपालिका,9348,8651,39201,18664,20537
नवलपरासी (बर्दघाट सुस्ता पूर्व),बुलिङटार गाउँपालिका,3569,3305,14596,7007,7589
नवलपरासी (बर्दघाट सुस्ता पूर्व),बौदीकाली गाउँपालिका,2914,2676,11339,5164,6175
नवलपरासी (बर्दघाट सुस्ता पूर्व),देवचुली नगरपालिका,14836,13127,59400,28133,31267
नवलपरासी (बर्दघाट सुस्ता पूर्व),गैंडाकोट नगरपालिका,20701,17151,80737,38725,42012
नवलपरासी (बर्दघाट सुस्ता पूर्व),हुप्सेकोट गाउँपालिका,6250,5865,26861,12346,14515
नवलपरासी (बर्दघाट सुस्ता पूर्व),कावासोती नगरपालिका,22184,19568,87176,40890,46286
नवलपरासी (बर्दघाट सुस्ता पूर्व),मध्यविन्दु नगरपालिका,15549,14345,61548,28291,33257
गुल्मी,चन्द्रकोट गाउँपालिका,5148,4732,18751,8605,10146
गुल्मी,छत्रकोट गाउँपालिका,5320,5073,19239,8601,10638
गुल्मी,धुर्कोट गाउँपालिका,5405,5036,18699,8285,10414
गुल्मी,गुल्मीदरबार गाउँपालिका,5288,5032,19413,8490,10923
गुल्मी,इस्मा गाउँपालिका,5013,4777,18530,8453,10077
गुल्मी,कालिगण्डकी गाउँपालिका,3793,3640,15106,7085,8021
गुल्मी,मदाने गाउँपालिका,5274,4961,19820,8985,10835
गुल्मी,मालिका गाउँपालिका,5273,5040,20173,9263,10910
गुल्मी,मुसिकोट नगरपालिका,7135,6761,28761,13371,15390
गुल्मी,रेसुङ्गा नगरपालिका,9129,6865,31677,14696,16981
गुल्मी,रुरुक्षेत्र गाउँपालिका,4691,4348,16638,7627,9011
गुल्मी,सत्यवती गाउँपालिका,5252,4953,19751,9056,10695
पाल्पा,बगनासकाली गाउँपालिका,4648,4423,16934,7683,9251
पाल्पा,माथागढी गाउँपालिका,5840,5553,24024,11222,12802
पाल्पा,निस्दी गाउँपालिका,4075,3772,17629,8137,9492
पाल्पा,पुर्वखोला गाउँपालिका,4138,3660,16145,7147,8998
पाल्पा,रैनादेवी छहरा गाउँपालिका,6390,6046,23124,10491,12633
पाल्पा,रम्भा गाउँपालिका,4696,4339,17077,7565,9512
पाल्पा,रामपुर नगरपालिका,10821,9111,39190,17775,21415
पाल्पा,रिब्दीकोट गाउँपालिका,4459,4236,15636,7195,8441
पाल्पा,तानसेन नगरपालिका,14865,10919,51470,23927,27543
पाल्पा,तिनाउ गाउँपालिका,4326,4164,18291,8628,9663
नवलपरासी (बर्दघाट सुस्ता पश्चिम),बर्दघाट नगरपालिका,18240,16430,75017,35180,39837
नवलपरासी (बर्दघाट सुस्ता पश्चिम),पाल्हीनन्दन गाउँपालिका,7383,6165,40325,20662,19663
नवलपरासी (बर्दघाट सुस्ता पश्चिम),प्रतापपुर गाउँपालिका,10753,9234,50326,25016,25310
नवलपरासी (बर्दघाट सुस्ता पश्चिम),रामग्राम नगरपालिका,13081,11037,64150,31842,32308
नवलपरासी (बर्दघाट सुस्ता पश्चिम),सरावल गाउँपालिका,8840,7576,42217,20691,21526
नवलपरासी (बर्दघाट सुस्ता पश्चिम),सुनवल नगरपालिका,17689,15871,72621,34316,38305
नवलपरासी (बर्दघाट सुस्ता पश्चिम),सुस्ता गाउँपालिका,7892,6946,39798,19365,20433
रुपन्देही,बुटवल उपमहानगरपालिका,51099,36989,195054,95705,99349
रुपन्देही,देवदह नगरपालिका,17582,15624,71806,33747,38059
रुपन्देही,गैडहवा गाउँपालिका,10020,8612,56529,28000,28529
रुपन्देही,कन्चन गाउँपालिका,10483,9828,42528,19295,23233
रुपन्देही,कोटहीमाई गाउँपालिका,7921,5939,46417,23527,22890
रुपन्देही,लुम्बिनी साँस्कृतिक नगरपालिका,13854,10736,88090,43706,44384
रुपन्देही,मर्चवारी गाउँपालिका,6972,5305,41058,20632,20426
रुपन्देही,मायादेवी गाउँपालिका,10040,8003,57341,28991,28350
रुपन्देही,ओमसतिया गाउँपालिका,8218,6683,41080,20332,20748
रुपन्देही,रोहिणी गाउँपालिका,8096,6349,43277,21836,21441
रुपन्देही,सैनामैना नगरपालिका,19657,17572,78477,36547,41930
रुपन्देही,सम्मरीमाई गाउँपालिका,7303,5164,43300,21691,21609
रुपन्देही,सिद्धार्थनगर नगरपालिका,16011,12329,76307,38136,38171
रुपन्देही,सियारी गाउँपालिका,9060,7883,45274,22100,23174
रुपन्देही,शुद्धोधन गाउँपालिका,8717,7619,41472,20352,21120
रुपन्देही,तिलोत्तमा नगरपालिका,36399,30452,149657,71700,77957
कपिलवस्तु,बाणगंगा नगरपालिका,23482,21157,97114,45820,51294
कपिलवस्तु,विजयनगर गाउँपालिका,7144,6361,43440,21562,21878
कपिलवस्तु,बुद्धभूमि नगरपालिका,15581,13717,77281,37580,39701
कपिलवस्तु,कपिलवस्तु नगरपालिका,15555,12871,89969,44505,45464
कपिलवस्तु,कृष्णनगर नगरपालिका,10889,8734,70969,35449,35520
कपिलवस्तु,महाराजगञ्ज नगरपालिका,9945,8084,65668,33257,32411
कपिलवस्तु,मायादेवी गाउँपालिका,8383,6623,57121,28014,29107
कपिलवस्तु,शिवराज नगरपालिका,16072,13960,84454,41098,43356
कपिलवस्तु,शुद्धोधन गाउँपालिका,8593,6770,53417,26258,27159
कपिलवस्तु,यसोधरा गाउँपालिका,7045,5462,45169,22030,23139
अर्घाखाँची,भूमिकास्थान नगरपालिका,7891,7403,28317,12687,15630
अर्घाखाँची,छत्रदेव गाउँपालिका,6263,5930,21691,9676,12015
अर्घाखाँची,मालारानी गाउँपालिका,6842,6501,23780,10747,13033
अर्घाखाँची,पाणिनी गाउँपालिका,6214,5915,22330,10064,12266
अर्घाखाँची,सन्धिखर्क नगरपालिका,12322,10261,42528,19507,23021
अर्घाखाँची,शितगंगा नगरपालिका,9541,9002,37888,17787,20101
प्युठान,ऐरावती गाउँपालिका,5145,4628,20404,9074,11330
प्युठान,गौमुखी गाउँपालिका,5616,5380,26000,12006,13994
प्युठान,झिमरुक गाउँपालिका,6592,6130,26491,11935,14556
प्युठान,मल्लरानी गाउँपालिका,4152,3743,15846,6866,8980
प्युठान,माण्डवी गाउँपालिका,3904,3469,15778,7005,8773
प्युठान,नौबहिनी गाउँपालिका,7163,6781,32524,14916,17608
प्युठान,प्यूठान नगरपालिका,11500,10175,42094,18945,23149
प्युठान,सरुमारानी गाउँपालिका,4488,4125,19370,8545,10825
प्युठान,स्वर्गद्वारी नगरपालिका ,8400,7739,32127,14041,18086
रोल्पा,परिवर्तन गाउँपालिका,4765,4567,22001,10252,11749
रोल्पा,लुङ्ग्री गाउँपालिका,5668,5486,26539,12348,14191
रोल्पा,माडी गाउँपालिका,4143,4023,18013,8431,9582
रोल्पा,रोल्पा नगरपालिका,8836,7464,35644,16410,19234
रोल्पा,रुन्टीगढी गाउँपालिका,6387,6055,29094,13734,15360
रोल्पा,सुनिल स्मृति गाउँपालिका,7066,6462,30523,13983,16540
रोल्पा,गंगादेव गाउँपालिका,4474,4423,21738,10278,11460
रोल्पा,सुनछहरी गाउँपालिका,3607,3505,17281,8298,8983
रोल्पा,थबाङ गाउँपालिका,2575,2345,11008,5159,5849
रोल्पा,त्रिवेणी गाउँपालिका,5468,5257,23190,10941,12249
रुकुम-पूर्व,भूमे गाउँपालिका,4194,3849,19835,9425,10410
रुकुम-पूर्व,पुथा उत्तरगंगा गाउँपालिका,4573,3925,18954,9473,9481
रुकुम-पूर्व,सिस्ने गाउँपालिका,4396,3833,18751,9122,9629
दाङ्ग,बबई गाउँपालिका,7538,7171,31317,14527,16790
दाङ्ग,बंगलाचुली गाउँपालिका,5173,4951,22877,10276,12601
दाङ्ग,दंगीशरण गाउँपालिका,5897,5579,23672,11436,12236
दाङ्ग,गढवा गाउँपालिका,10084,9448,46275,22650,23625
दाङ्ग,घोराही उपमहानगरपालिका,51619,45240,201079,94384,106695
दाङ्ग,लमही नगरपालिका,13862,12482,58884,28257,30627
दाङ्ग,राजपुर गाउँपालिका,5896,5634,28410,14171,14239
दाङ्ग,राप्ती गाउँपालिका,11837,10940,52158,24720,27438
दाङ्ग,शान्तिनगर गाउँपालिका,7137,6792,27666,12872,14794
दाङ्ग,तुल्सीपुर उपमहानगरपालिका,46699,41012,180734,85701,95033
बाँके,बैजनाथ गाउँपालिका,16765,15439,70315,32739,37576
बाँके,डुडुवा गाउँपालिका,8112,6152,43039,21798,21241
बाँके,जानकी गाउँपालिका,9124,7263,46536,23386,23150
बाँके,खजुरा गाउँपालिका,13885,12213,63749,30284,33465
बाँके,कोहलपुर नगरपालिका,24346,21251,100289,48324,51965
बाँके,नरैनापुर गाउँपालिका,8680,6941,43698,21822,21876
बाँके,नेपालगञ्ज उपमहानगरपालिका,35517,26491,166258,83311,82947
बाँके,राप्ती सोनारी गाउँपालिका,15491,14380,67782,32015,35767
बर्दिया,बढैयाताल गाउँपालिका,12736,11826,52056,24042,28014
बर्दिया,बाँसगढी नगरपालिका,15149,13965,63400,29486,33914
बर्दिया,बारबर्दिया नगरपालिका,16950,15852,72892,34353,38539
बर्दिया,गेरुवा गाउँपालिका,7788,7613,33742,15525,18217
बर्दिया,गुलरिया नगरपालिका,16141,14177,74868,37086,37782
बर्दिया,मधुवन नगरपालिका,12474,11647,51173,23570,27603
बर्दिया,राजापुर नगरपालिका,13711,13191,61431,29166,32265
बर्दिया,ठाकुरबाबा नगरपालिका,11480,10646,49360,22853,26507
रुकुम - पश्चिम,आठबिसकोट नगरपालिका,7603,7094,35929,17743,18186
रुकुम - पश्चिम,बाँफिकोट गाउँपालिका,4827,4398,20940,10085,10855
रुकुम - पश्चिम,चौरजहारी नगरपालिका,6791,5957,29255,14170,15085
रुकुम - पश्चिम,मुसिकोट नगरपालिका,8793,7425,33871,16091,17780
रुकुम - पश्चिम,सानीभेरी गाउँपालिका,5313,4897,24778,12152,12626
रुकुम - पश्चिम,त्रिवेणी गाउँपालिका,4375,4231,20466,9775,10691
सल्यान,बागचौर नगरपालिका,7539,7212,34053,16496,17557
सल्यान,बनगाड कुपिण्डे नगरपालिका,7893,7423,33758,16237,17521
सल्यान,छत्रेश्वरी गाउँपालिका,5135,4847,21368,10115,11253
सल्यान,दार्मा गाउँपालिका,4270,4006,19998,9699,10299
सल्यान,सिद्ध कुमाख गाउँपालिका,2892,2786,13135,6274,6861
सल्यान,कालिमाटी गाउँपालिका,4994,4734,22498,11126,11372
सल्यान,कपुरकोट गाउँपालिका,3978,3864,17548,8410,9138
सल्यान,कुमाख गाउँपालिका,5582,5149,24858,12088,12770
सल्यान,शारदा नगरपालिका,8992,8122,34684,16516,18168
सल्यान,त्रिवेणी गाउँपालिका,4125,3841,16768,7992,8776
सुर्खेत,बराहताल गाउँपालिका,6240,6059,25562,12248,13314
सुर्खेत,भेरीगंगा नगरपालिका,11599,10524,48581,22833,25748
सुर्खेत,वीरेन्द्रनगर नगरपालिका,39391,31847,154886,75921,78965
सुर्खेत,चौकुने गाउँपालिका,5358,4897,27006,13289,13717
सुर्खेत,चिङ्गाड  गाउँपालिका,3240,3066,15752,7405,8347
सुर्खेत,गुर्भाकोट नगरपालिका,11923,10960,49394,23162,26232
सुर्खेत,लेकबेशी नगरपालिका,7475,7134,31791,14978,16813
सुर्खेत,पञ्चपुरी नगरपालिका,7979,7326,36062,17530,18532
सुर्खेत,सिम्ता गाउँपालिका,6121,5475,24298,10740,13558
दैलेख,आठबीस नगरपालिका,6246,4951,31839,15565,16274
दैलेख,भगवतीमाई गाउँपालिका,3627,3344,18366,9083,9283
दैलेख,भैरवी गाउँपालिका,4198,3755,17981,8377,9604
दैलेख,चामुण्डा बिन्द्रासैनी नगरपालिका,5192,4475,26575,13044,13531
दैलेख,दुल्लु नगरपालिका,9208,8353,39582,18506,21076
दैलेख,डुङ्गेश्वर गाउँपालिका,3436,3163,14597,6940,7657
दैलेख,गुराँस गाउँपालिका,4562,4358,21284,10483,10801
दैलेख,महाबु गाउँपालिका,4021,3652,18037,8316,9721
दैलेख,नारायण नगरपालिका,6668,5421,25803,12222,13581
दैलेख,नौमुले गाउँपालिका,4517,4162,20589,10032,10557
दैलेख,ठाँटीकाँध गाउँपालिका,4033,3142,18666,9107,9559
जाजरकोट,बारेकोट गाउँपालिका,3901,3485,22038,11010,11028
जाजरकोट,भेरी नगरपालिका,8962,7745,38370,18636,19734
जाजरकोट,छेडागाड नगरपालिका,7431,6888,38027,18852,19175
जाजरकोट,जुनीचाँदे गाउँपालिका,4356,3967,23823,11979,11844
जाजरकोट,कुसे गाउँपालिका,4520,4199,23529,11636,11893
जाजरकोट,शिवालय गाउँपालिका,2820,2598,14720,7270,7450
जाजरकोट,नलगाड नगरपालिका,6064,5427,28858,14412,14446
डोल्पा,छार्का ताङसोङ गाउँपालिका,320,306,1713,839,874
डोल्पा,डोल्पो बुद्ध गाउँपालिका,543,542,2462,1206,1256
डोल्पा,जगदुल्ला गाउँपालिका,600,511,2581,1289,1292
डोल्पा,काईके गाउँपालिका,926,715,4124,1931,2193
डोल्पा,मुड्केचुला गाउँपालिका,1206,1078,5875,2975,2900
डोल्पा,शे फोक्सुण्डो गाउँपालिका,818,805,3717,1775,1942
डोल्पा,ठुली भेरी नगरपालिका,2380,1770,10187,5113,5074
डोल्पा,त्रिपुरासुन्दरी नगरपालिका,2636,2268,12300,6148,6152
जुम्ला,चन्दननाथ नगरपालिका,5367,4166,20973,10475,10498
जुम्ला,गुठिचौर गाउँपालिका,2451,2205,10891,5344,5547
जुम्ला,हिमा गाउँपालिका,2104,2062,12804,6388,6416
जुम्ला,कनकासुन्दरी गाउँपालिका,2786,2733,13687,6807,6880
जुम्ला,पातारासी गाउँपालिका,3374,3191,16881,8349,8532
जुम्ला,सिंजा गाउँपालिका,2427,2271,12744,6561,6183
जुम्ला,तातोपानी गाउँपालिका,3321,3190,15721,7728,7993
जुम्ला,तिला गाउँपालिका,2666,2582,14692,7261,7431
कालीकोट,शुभ कालिका गाउँपालिका,2769,2311,13900,6784,7116
कालीकोट,खाँडाचक्र नगरपालिका,4132,3266,23336,11948,11388
कालीकोट,महावै गाउँपालिका,1666,1364,8334,4072,4262
कालीकोट,नरहरिनाथ गाउँपालिका,4422,3668,22414,11109,11305
कालीकोट,पचालझरना गाउँपालिका,2509,2196,13683,6837,6846
कालीकोट,पलाता गाउँपालिका,2895,2683,17658,9018,8640
कालीकोट,रास्कोट नगरपालिका,3076,2836,16469,8059,8410
कालीकोट,सान्नी त्रिवेणी गाउँपालिका,2352,2088,12864,6363,6501
कालीकोट,तिलागुफा नगरपालिका,3135,2517,16259,8053,8206
मुगु,छायाँनाथ रारा नगरपालिका,4917,4529,25692,13022,12670
मुगु,खत्याड गाउँपालिका,3567,3429,19301,9840,9461
मुगु,मुगुम कार्मारोंग गाउँपालिका,1399,1364,7301,3506,3795
मुगु,सोरु गाउँपालिका,2652,2469,14364,7080,7284
हुम्ला,अदानचुली गाउँपालिका,1481,1344,8110,4012,4098
हुम्ला,चंखेली गाउँपालिका,1196,1175,6625,3367,3258
हुम्ला,खार्पुनाथ गाउँपालिका,1545,1330,6975,3465,3510
हुम्ला,नाम्खा गाउँपालिका,868,850,4506,2304,2202
हुम्ला,सर्केगाड गाउँपालिका,2211,2016,11040,5669,5371
हुम्ला,सिमकोट गाउँपालिका,3007,2512,12130,6101,6029
हुम्ला,ताँजाकोट गाउँपालिका,1176,1086,6110,3064,3046
बाजुरा,बडिमालिका नगरपालिका,4082,3143,18432,9253,9179
बाजुरा,बुढीगंगा नगरपालिका,4680,3875,20072,9259,10813
बाजुरा,बुढीनन्दा नगरपालिका,4317,3195,20745,10214,10531
बाजुरा,खप्तड छेडेदह गाउँपालिका,3627,2878,19274,9326,9948
बाजुरा,गौमुल गाउँपालिका,1731,1588,8765,4373,4392
बाजुरा,हिमाली गाउँपालिका,2092,1716,10503,5284,5219
बाजुरा,जगन्‍नाथ गाउँपालिका,1965,1687,10205,4938,5267
बाजुरा,स्वामीकार्तिक खापर गाउँपालिका,2392,2242,13013,6593,6420
बाजुरा,त्रिवेणी नगरपालिका,4036,3567,17989,8368,9621
बझाङ,बित्थडचिर गाउँपालिका,3273,2728,16854,8301,8553
बझाङ,बुंगल नगरपालिका,6242,5357,33487,15885,17602
बझाङ,छबिस पाथिभेरा गाउँपालिका,3125,2792,14515,6770,7745
बझाङ,दुर्गाथली गाउँपालिका,2606,2282,11414,5149,6265
बझाङ,जयपृथ्वी नगरपालिका,5034,4088,21973,10560,11413
बझाङ,साइपाल गाउँपालिका ,456,454,2681,1330,1351
बझाङ,केदारस्युँ गाउँपालिका,4389,3768,21697,10000,11697
बझाङ,खप्तडछान्ना गाउँपालिका,3100,2453,13751,6238,7513
बझाङ,मष्टा गाउँपालिका,2608,2519,13584,6518,7066
बझाङ,सूर्मा गाउँपालिका,1835,1593,11248,5609,5639
बझाङ,तलकोट गाउँपालिका,2238,2063,11858,5454,6404
बझाङ,थलारा गाउँपालिका,3462,2819,15961,7104,8857
अछाम,बान्नीगढी जयगढ गाउँपालिका,3144,2309,13639,5887,7752
अछाम,चौरपाटी गाउँपालिका,4822,3960,22407,9985,12422
अछाम,ढकारी गाउँपालिका,4373,3501,22553,10813,11740
अछाम,कमलबजार नगरपालिका,4590,3730,20947,9480,11467
अछाम,मंगलसेन नगरपालिका,6231,4587,26843,12101,14742
अछाम,मेल्लेख गाउँपालिका,4752,3628,23096,10670,12426
अछाम,पन्चदेवल विनायक नगरपालिका,5432,4466,26316,12062,14254
अछाम,रामारोशन गाउँपालिका,4959,3876,22676,10759,11917
अछाम,साँफेबगर नगरपालिका,6382,4883,25990,11965,14025
अछाम,तुर्माखाँद गाउँपालिका,5277,4428,24440,11668,12772
डोटी,आदर्श गाउँपालिका,5449,4204,24911,11141,13770
डोटी,बडीकेदार गाउँपालिका,2984,2762,15078,7555,7523
डोटी,बोगटान फुड्सिल गाउँपालिका,3198,2774,15912,7488,8424
डोटी,दिपायल सिलगढी नगरपालिका,8601,6111,36906,17884,19022
डोटी,जोरायल गाउँपालिका,4432,4092,20364,10251,10113
डोटी,के.आई.सिं. गाउँपालिका,4731,3975,20830,9130,11700
डोटी,पूर्वीचौकी गाउँपालिका,5305,4095,21263,9089,12174
डोटी,सायल गाउँपालिका,4311,3139,20125,9221,10904
डोटी,शिखर नगरपालिका,7089,5654,30294,13307,16987
कैलाली,बर्दगोरिया गाउँपालिका,8639,8162,37714,17882,19832
कैलाली,भजनी नगरपालिका,11143,10701,53795,25802,27993
कैलाली,चुरे गाउँपालिका,4272,4015,21437,10809,10628
कैलाली,धनगढी उपमहानगरपालिका,46670,39249,204788,102334,102454
कैलाली,गौरीगंगा नगरपालिका,13693,12984,64327,29730,34597
कैलाली,घोडाघोडी नगरपालिका,18636,17796,85982,40223,45759
कैलाली,गोदावरी नगरपालिका,21508,19356,99973,47873,52100
कैलाली,जानकी गाउँपालिका,11180,10657,49835,23202,26633
कैलाली,जोशीपुर गाउँपालिका,7775,7630,37167,17788,19379
कैलाली,कैलारी गाउँपालिका,10793,10458,50457,24485,25972
