जिल्ला,स्थानीय तह,जम्मा परिवार संख्या,जम्मा जनगणना घर संख्या,जम्मा जनसंख्या,जम्मा पुरुष,जम्मा महिला
सिन्धुपाल्चोक,ईन्द्रावती गाउँपालिका,6812,6584,25518,12114,13404
सिन्धुपाल्चोक,जुगल गाउँपालिका,4698,4549,19148,9657,9491
सिन्धुपाल्चोक,लिसंखु पाखर गाउँपालिका,3746,3605,11560,5713,5847
सिन्धुपाल्चोक,मेलम्ची नगरपालिका,11349,10811,41170,20073,21097
सिन्धुपाल्चोक,पाँचपोखरी थाङपाल गाउँपालिका,5917,5634,20978,10596,10382
सिन्धुपाल्चोक,सुनकोशी गाउँपालिका ,4597,4509,15307,7376,7931
सिन्धुपाल्चोक,त्रिपुरासुन्दरी गाउँपालिका,3653,3551,12194,5972,6222
काभ्रेपलाञ्चोक,बनेपा नगरपालिका,16973,12545,67629,33180,34449
काभ्रेपलाञ्चोक,बेथानचोक गाउँपालिका,3900,3730,14996,7229,7767
काभ्रेपलाञ्चोक,भुम्लु गाउँपालिका,4524,4407,15858,7607,8251
काभ्रेपलाञ्चोक,चौंरीदेउराली गाउँपालिका,4181,4084,14106,6668,7438
काभ्रेपलाञ्चोक,धुलिखेल नगरपालिका,8808,7309,36183,18501,17682
काभ्रेपलाञ्चोक,खानीखोला गाउँपालिका,2484,2455,12375,6131,6244
काभ्रेपलाञ्चोक,महाभारत गाउँपालिका,3327,3297,16148,7933,8215
काभ्रेपलाञ्चोक,मण्डनदेउपुर नगरपालिका,8220,7861,31261,15335,15926
काभ्रेपलाञ्चोक,नमोबुद्ध नगरपालिका,7406,6988,26280,12579,13701
काभ्रेपलाञ्चोक,पनौती नगरपालिका,12986,11555,52078,25457,26621
काभ्रेपलाञ्चोक,पाँचखाल नगरपालिका,9295,8783,35992,17471,18521
काभ्रेपलाञ्चोक,रोशी गाउँपालिका,6148,6039,23551,11458,12093
काभ्रेपलाञ्चोक,तेमाल गाउँपालिका,4930,4872,16959,8197,8762
ललितपुर ,बागमती गाउँपालिका,2800,2735,11196,5637,5559
ललितपुर ,गोदावरी नगरपालिका,24771,20966,100972,49707,51265
ललितपुर ,कोन्ज्योसोम गाउँपालिका,2176,2148,9042,4499,4543
ललितपुर ,ललितपुर महानगरपालिका,77872,49044,299843,150702,149141
ललितपुर ,महालक्ष्मी नगरपालिका,31509,20659,118710,60388,58322
ललितपुर ,महाङ्काल गाउँपालिका,1878,1836,7861,3913,3948
भक्तपुर ,भक्तपुर नगरपालिका,18854,12200,78854,39664,39190
भक्तपुर ,चाँगुनारायण नगरपालिका,21946,17373,88612,44073,44539
भक्तपुर ,मध्यपुर थिमी नगरपालिका,31768,17639,119955,60954,59001
भक्तपुर ,सूर्यविनायक नगरपालिका,35885,23637,137971,68971,69000
काठमाडौं,बुढानिलकण्ठ नगरपालिका,47169,26910,179688,89284,90404
काठमाडौं,चन्द्रागिरी नगरपालिका,36012,22070,136928,68350,68578
काठमाडौं,दक्षिणकाली नगरपालिका,6527,5568,26744,13179,13565
काठमाडौं,गोकर्णेश्वर नगरपालिका,40114,19098,151200,74453,76747
काठमाडौं,कागेश्वरी मनहरा नगरपालिका,34794,21028,133327,66138,67189
काठमाडौं,काठमाण्डौ महानगरपालिका,231714,105649,845767,431501,414266
काठमाडौं,किर्तिपुर नगरपालिका,24211,12676,81782,43378,38404
काठमाडौं,नागार्जुन नगरपालिका,31323,17466,115507,57631,57876
काठमाडौं,शंखरापुर नगरपालिका,7275,6479,30414,15188,15226
काठमाडौं,तारकेश्वर नगरपालिका,41364,21623,151508,75300,76208
काठमाडौं,टोखा नगरपालिका,37413,17239,135741,67396,68345
नुवाकोट,बेलकोटगढी नगरपालिका,9464,9244,35200,17139,18061
नुवाकोट,विदुर नगरपालिका,15604,13911,60111,29043,31068
नुवाकोट,दुप्चेश्वर गाउँपालिका,5195,5023,21019,10473,10546
नुवाकोट,ककनी गाउँपालिका,6388,6012,24323,11969,12354
नुवाकोट,किस्पाङ गाउँपालिका,3969,3853,14122,6920,7202
नुवाकोट,लिखु गाउँपालिका ,4604,4374,17737,8646,9091
नुवाकोट,म्यागङ गाउँपालिका,3755,3595,12417,6086,6331
नुवाकोट,पञ्चकन्या गाउँपालिका,3629,3539,13864,6771,7093
नुवाकोट,शिवपुरी गाउँपालिका,4877,4795,16979,8115,8864
नुवाकोट,सुर्यगढी गाउँपालिका,3842,3776,14929,7256,7673
नुवाकोट,तादी गाउँपालिका,4031,3867,16055,7911,8144
नुवाकोट,तारकेश्वर गाउँपालिका,3792,3735,14164,6670,7494
